Year,Team,Player,Min,Own,Opp,Production_Net,On,Off,Net,Rating
2122,DEN,Jokic,63%,41.2,20.6,+20.6,+8.8,-8.4,+17.2,+19.5
2122,DEN,Gordon,60%,19.0,17.6,+1.4,+6.6,-4.1,+10.7,+4.5
2122,DEN,Morris,57%,18.4,18.3,+0.0,+6.2,-2.7,+8.9,+3.0
2122,DEN,Bol,2%,17.9,16.1,+1.8,+3.1,+2.3,+0.7,+0.1
2122,DEN,PorterJr.,7%,9.7,14.2,-4.4,+10.7,+1.7,+9.0,+0.0
2122,DEN,Tucker,1%,16.9,14.2,+2.7,+5.1,+2.3,+2.8,+0.0
2122,DEN,Barton,57%,16.9,16.5,+0.3,+2.1,+2.7,-0.6,+0.0
2122,DEN,Murray,0%,0.0,0.0,+0.0,+0.0,+2.3,-2.3,+0.0
2122,DEN,Hyland,33%,18.1,17.9,+0.2,+1.6,+2.7,-1.1,-0.3
2122,DEN,Forbes,15%,13.2,16.4,-3.1,+5.2,+1.8,+3.4,-1.0
2122,DEN,Reed,17%,15.3,16.5,-1.2,-1.9,+3.2,-5.1,-2.5
2122,DEN,Jeff.Green,47%,14.6,18.1,-3.5,+1.6,+3.0,-1.5,-2.8
2122,DEN,Cancar,4%,15.8,20.6,-4.8,+1.1,+2.4,-1.3,-3.6
2122,DEN,Cornelie,1%,11.9,21.6,-9.7,+10.7,+2.3,+8.4,-3.7
2122,DEN,Cousins,11%,22.1,25.6,-3.6,-1.5,+2.8,-4.3,-3.8
2122,DEN,Nnaji,18%,16.6,21.2,-4.6,-3.2,+3.5,-6.7,-5.3
2122,DEN,Rivers,37%,9.0,18.0,-9.0,+1.8,+2.7,-0.9,-6.3
2122,DEN,Howard,4%,20.2,27.9,-7.7,-3.4,+2.6,-6.0,-7.1
2122,DEN,Campazzo,30%,13.8,19.4,-5.6,-8.8,+7.1,-15.8,-9.0
2122,DEN,Ja.Green,27%,15.1,24.9,-9.8,-4.0,+4.7,-8.7,-9.5
2122,DEN,Dozier,9%,10.9,20.2,-9.3,-12.9,+3.8,-16.7,-11.7
2122,DEN,EnnisIII,0%,5.0,22.4,-17.3,-30.0,+2.4,-32.4,-21.6
2122,DEN,Jones,0%,12.2,46.8,-34.6,-53.6,+2.4,-56.0,-33.1
